Name	Lifestyle	Fashion & beauty	Food	Fitness & Wellness	Travel	Family	Entertainment	Education/Corporate	MC/Animator
@ornellalafleche	Yes	Yes	Yes	No	No	Yes	No	No	No
@marine.fantasea	Yes	No	No	No	Yes	No	No	No	No
@raveena.rummun	Yes	Yes	No	No	Yes	No	No	No	No
@coraliemk	Yes	Yes	Yes	No	No	No	No	No	No
@paulinepacifique	Yes	Yes	No	No	No	No	No	No	No
@meloblack	Yes	No	Yes	No	No	Yes	No	No	No
@saniah08	Yes	Yes	No	No	Yes	No	No	No	No
@sav.desvaux	Yes	Yes	No	No	Yes	No	No	No	No
@vershini_01	Yes	Yes	Yes	No	No	No	No	No	No
@laetitia.darche	Yes	Yes	No	Yes	No	No	No	No	No
@angelique_talbot	Yes	No	No	No	Yes	No	No	No	No
@itsjess_kai	Yes	Yes	Yes	No	No	No	No	No	No
@wayfarerlady	Yes	Yes	No	No	No	No	No	No	No
@shanny_ramsamy	No	Yes	No	No	Yes	No	Yes	No	No
@julie_d_13	Yes	No	No	No	Yes	No	No	No	No
@_sevlife_	Yes	Yes	No	No	No	Yes	No	No	No
@neeshibeeharry	Yes	Yes	Yes	No	Yes	No	No	No	No
@thee.mad.cat	Yes	No	No	No	Yes	No	No	No	No
@_sassygranny_	Yes	Yes	No	No	No	Yes	No	No	No
@veeneesta	Yes	Yes	No	No	No	Yes	No	No	No
@mon_icorn	Yes	Yes	No	No	No	No	Yes	No	No
@monasedghi	Yes	No	No	No	Yes	No	No	No	No
@poonam.manick	Yes	Yes	Yes	No	No	No	No	No	No
@harshitaa_n	No	Yes	No	No	No	No	No	No	No
@savannahpolydor	No	Yes	No	No	No	No	No	No	No
@onezyachungyen	Yes	Yes	No	No	No	No	No	No	No
@victoria_philippe.r.c.w	Yes	Yes	No	No	No	No	No	No	No
@_yash_mini_	Yes	Yes	No	No	Yes	No	No	No	No
@naarmeen_bernon	No	Yes	No	No	No	No	No	No	No
@kesimi	Yes	Yes	No	Yes	No	No	No	No	No
@ameeksha	Yes	Yes	No	No	No	No	No	No	No
@suh_est_la	No	Yes	No	No	No	No	No	No	No
@tania_rn_	No	Yes	No	No	No	No	No	No	No
@kittyphilips12	Yes	No	Yes	No	No	Yes	No	No	No
@carleen_chan.y	Yes	Yes	Yes	No	No	No	No	No	No
@reamnadine	Yes	No	Yes	No	No	No	No	No	No
@leiti_diaries	No	No	Yes	No	No	No	No	No	No
@elena.healthyishappy	No	No	Yes	No	No	No	No	No	No
@ikadelacroix	No	No	No	Yes	No	No	No	No	No
@graceee_wonggg	No	No	No	Yes	No	No	No	No	No
@amberkorimdun	Yes	Yes	No	Yes	No	No	No	No	No
@_katia_m_	No	Yes	No	No	Yes	No	No	No	No
@anettekolu	Yes	Yes	No	No	Yes	No	No	No	No
@sabrinadulloo	Yes	No	No	No	Yes	No	No	No	No
@chandre.ramdenee	Yes	No	No	Yes	No	Yes	No	No	No
@sophioux1	Yes	Yes	No	No	No	Yes	No	No	No
@therealdhavina	Yes	No	No	No	No	Yes	No	No	No
@hola_its_ash	Yes	No	No	No	No	No	No	Yes	No
@elo.marot	Yes	No	No	No	No	No	No	No	No
@kristen_elodie	Yes	Yes	Yes	No	No	No	No	No	No
@eveisambourg	Yes	Yes	No	Yes	No	No	No	No	No
@machella_2183	No	Yes	No	Yes	No	No	No	No	No
@noemialphonse	No	No	No	Yes	No	No	No	No	No
@julie_maroudan	Yes	Yes	No	No	No	No	No	No	No
@diariesofkareena	No	Yes	No	No	No	No	No	No	No
@niveda_moorghen	Yes	Yes	Yes	No	No	No	No	No	No
@fadilahs..kitchen	No	No	Yes	No	No	No	No	No	No
@sotmpm	Yes	Yes	No	No	No	No	No	No	No
@lesastucesdekaren	No	No	No	No	No	No	No	No	No
@hanaa_elah	No	No	No	No	No	Yes	No	No	No
@thechefyu	No	No	Yes	No	No	No	No	No	No
@kirtipudaruthxo	Yes	Yes	Yes	No	No	No	No	No	No
@samanta.luchoo	Yes	Yes	No	No	No	No	No	No	No
@deeshika	Yes	Yes	Yes	No	No	No	No	No	No
@simply_zai_	Yes	Yes	Yes	No	Yes	No	No	No	No
@latelierdekristel	No	No	Yes	No	No	No	No	No	No
@shalinirunnoo	Yes	Yes	No	No	No	No	No	No	Yes
@sheryl_smithduverge	Yes	Yes	No	No	No	No	No	No	No
@stephanie_langue	No	Yes	No	No	No	No	No	No	No
@pallavee_murugan	Yes	Yes	No	No	No	No	No	No	No
@axellead4	Yes	No	Yes	No	No	No	Yes	No	Yes
@kesh.lfc	No	Yes	No	No	No	No	No	No	No
@paulinelucchi1	Yes	No	Yes	No	No	No	No	No	No
@iamemmatherese	Yes	Yes	Yes	No	Yes	No	No	Yes	No
@mashaaelp	No	No	No	Yes	No	No	No	No	No
@katecollet_	No	Yes	Yes	No	No	No	No	No	No
@fueledbyplants__	Yes	No	Yes	No	Yes	No	No	No	No
@duh_hiitslily	No	No	Yes	No	No	No	No	No	No
@emms_rioux	Yes	Yes	No	No	No	No	No	No	No
@_a_ad2706	No	No	Yes	No	No	No	No	No	No
@shruti_divya	No	No	Yes	Yes	Yes	No	No	No	No
@adiya_p_	Yes	Yes	Yes	No	Yes	No	No	No	No
@cookwithmoris	No	No	Yes	No	No	No	No	No	No
@bhealthy.sabrina	Yes	Yes	Yes	Yes	No	No	No	No	No
@simply0ra	Yes	Yes	No	No	No	No	No	No	No
@sephora_uelle	No	No	No	Yes	No	No	No	No	No
@gina_flies	Yes	Yes	No	No	Yes	Yes	No	No	No
@laetitia3100	No	No	No	No	No	No	No	No	No
@loana_hung	Yes	Yes	Yes	No	Yes	No	No	No	No
@mariam_g.w	No	Yes	No	No	No	No	No	No	No
@adishbalkissoon	Yes	Yes	No	No	No	No	No	No	No
@john_ducon	No	No	Yes	No	No	No	Yes	No	No
@momopartou	Yes	No	No	No	No	No	Yes	No	Yes
@jeremymootealoo	Yes	No	Yes	No	No	No	Yes	No	No
@charlie_raffaut	No	Yes	Yes	No	No	No	No	No	No
@juan_seato	Yes	No	Yes	No	Yes	No	No	No	No
@goutermoris	No	No	Yes	No	No	No	No	No	No
@la_kwizin	No	No	Yes	No	No	No	No	No	No
@chef.nicho	No	No	Yes	No	No	No	No	No	No
@jld.fit	Yes	No	No	Yes	No	No	No	No	No
@themauritiancoach	No	No	Yes	Yes	No	No	No	No	No
@johannnsmuller	Yes	Yes	No	Yes	No	No	No	No	No
@jonathanclaire.coach	No	No	No	Yes	No	No	No	No	No
@anil_seeperson	No	No	No	Yes	No	No	No	No	No
@fabricelotoah	No	No	Yes	Yes	No	No	No	No	No
@shivam_seegolam	Yes	No	Yes	No	Yes	No	No	No	No
@s3jean	No	No	No	No	Yes	No	No	No	No
@hahanotsydney	Yes	No	Yes	No	No	No	Yes	No	No
@muktishmauritius	No	No	No	No	No	No	No	Yes	No
@ashvinujhoodha	No	No	No	No	No	No	No	Yes	No
@nathchng	Yes	No	Yes	Yes	No	No	No	No	No
@fezalkofficial	Yes	No	Yes	No	No	No	No	No	Yes
@mr_yanesh_	No	No	Yes	No	No	No	Yes	No	No
@jimmythecr3ator	No	No	Yes	No	No	No	Yes	No	No
@shanesthetix89	No	No	No	Yes	No	No	No	No	No
@sarveshr.jeewooth	Yes	No	Yes	No	No	No	No	No	No
@adam.omar.18	Yes	Yes	No	No	No	No	No	No	No
@jah_is_a_loot	Yes	No	No	Yes	Yes	No	No	No	No
@cedriclanappe	No	Yes	No	No	No	No	No	No	No
@christopher_ludovic	Yes	No	No	No	No	No	Yes	No	Yes
@thehungrycouple.mu	No	No	Yes	No	No	No	No	No	No
@worth_your.salt	No	No	Yes	No	No	No	No	No	No
@lesmamoursofficiel	No	No	No	No	No	Yes	Yes	No	No
